"Item Number","Unit of Measure","Description Line 1","On Hand Quantity","Quantity Ordered","Open Balance","Expected Date"
"80095","PAIL","Strawberry Jam Bake Proof",21,30.00,30.00,"08/14/23"
"80085","PAIL","Raspberry Jam Seedless Bake Proof",13,30.00,30.00,"08/14/23"
"80077","CASE","Instant Custard (Pastry Cream)",0,3.00,3.00,"08/14/23"
"61035","BAG","Anasazi Beans 10lb",1,10.00,10.00,"07/31/23"
"67225","PC.","Natural Orange Extract 2oz*",0,9.00,9.00,"07/31/23"
"22225","PC.","Gary PC Description",2,1.00,1.00,"07/24/23"
"00007","EACH","Freight / Fuel Charges",0,1.00,1.00,"07/24/23"
"45055","CASE","Almond Flour Xtra Fine Blanched",39,1.00,1.00,"08/01/23"
"77024","CASE","Walnut Halves & Pieces",15,2.00,2.00,"08/01/23"
"77022","CASE","Almonds Sliced Natural Raw",11,12.00,12.00,"08/01/23"
"77002","CASE","Almonds Sliced Blanched",10,5.00,5.00,"08/01/23"
"77036","CASE","Cranberries Dried",9,4.00,4.00,"08/01/23"
"77042","CASE","Figs Black Mission",7,2.00,2.00,"08/01/23"
"77035","CASE","Apricots Dried",7,6.00,6.00,"08/01/23"
"77034","CASE","Pepitas Raw",5,8.00,8.00,"08/01/23"
"77088","CASE","Dates Medjool",4,18.00,18.00,"08/01/23"
"77053","CASE","Almonds Whole Natural",4,6.00,6.00,"08/01/23"
"77023","CASE","Macadamia Nuts Halves & Pieces",3,2.00,2.00,"08/01/23"
"33041","BAG","Coconut Ribbon Chip Unsweet",3,2.00,2.00,"08/01/23"
"41160","CASE","Ginger Crystallized Diced",2,2.00,2.00,"08/01/23"
"99988","CASE","Quinoa White Organic",2,3.00,3.00,"08/01/23"
"77003","CASE","Figs Calimyrna",2,2.00,2.00,"08/01/23"
"45055","CASE","Almond Flour Xtra Fine Blanched",39,50.00,50.00,"08/08/23"
"77044","CASE","Raisins Golden",15,2.00,2.00,"08/08/23"
"77024","CASE","Walnut Halves & Pieces",15,5.00,5.00,"08/08/23"
"77040","CASE","Sunflower Kernels Raw",11,2.00,2.00,"08/08/23"
"77002","CASE","Almonds Sliced Blanched",10,3.00,3.00,"08/08/23"
"77017","CASE","Cherries Tart Dried",10,8.00,8.00,"08/08/23"
"77035","CASE","Apricots Dried",7,2.00,2.00,"08/08/23"
"62101","CASE","Raisins Black Thompson Select",6,3.00,3.00,"08/08/23"
"77051","CASE","Blueberries Dried",3,2.00,2.00,"08/08/23"
"15035","CASE","Butter Sheets Unsalted",42,100.00,100.00,"07/31/23"
"99992","CASE","Artichoke Hearts Quartered 6/3kg",6,3.00,3.00,"07/31/23"
"54022","CASE","Double Devon Cream",6,3.00,3.00,"07/31/23"
"76014","CASE","Tart Shell Round Savory 1.8""",4,20.00,20.00,"07/31/23"
"67123","CASE","Provolone Valpadana Piccante",4,2.00,2.00,"07/31/23"
"75107","CASE","Olives Mediterranean Mix Pitted",3,3.00,3.00,"07/31/23"
"11304","CASE","Lady Fingers",3,4.00,4.00,"07/31/23"
"67044","CASE","Grana Padano Full 80lb",2,4.00,4.00,"07/31/23"
"54020","CASE","Stilton Blueberries",2,4.00,4.00,"07/31/23"
"37500","CASE","Gruyere Austrian",2,25.00,25.00,"07/31/23"
"00060","CASE","Parmesan Block For Shredding",2,6.00,6.00,"07/31/23"
"76126","CASE","Tart Shell Graham Round 2.2""",1,4.00,4.00,"07/31/23"
"75111","CASE","Balsamic Artigianale Villa Manodori",1,1.00,1.00,"07/31/23"
"53400","CASE","Mascarpone",1,3.00,3.00,"07/31/23"
"45140","CASE","Pecorino Romano 44lb",1,2.00,2.00,"07/31/23"
"10995","CASE","Olives Cerignola Black",1,4.00,4.00,"07/31/23"
"76009","CASE","Tart Shell Round Mini Graham 1.4""",0,7.00,7.00,"07/31/23"
"76000","CASE","Tart Shell Round Sweet 1.9""",0,30.00,30.00,"07/31/23"
"75114","CASE","Mustard Dijon Grain",0,3.00,3.00,"07/31/23"
"67045","CASE","Parmigiano Reggiano 12/18mo Full",0,6.00,6.00,"07/31/23"
"51011","CASE","Danish Blue Cheese 6lb",0,6.00,6.00,"07/31/23"
"45310","CASE","Feta Cheese 7kg",0,10.00,10.00,"07/31/23"
"37134","CASE","Ricotta Salata",0,3.00,3.00,"07/31/23"
"15035","CASE","Butter Sheets Unsalted",42,70.00,70.00,"07/31/23"
"00060","CASE","Parmesan Block For Shredding",2,4.00,4.00,"07/31/23"
"67173","CASE","Swiss French Emmental",0,8.00,8.00,"07/31/23"
"37134","CASE","Ricotta Salata",0,1.00,1.00,"07/31/23"
"31097","CASE","Macarons Assorted 2/35ct",51,50.00,50.00,"07/31/23"
"70016","CASE","Croissant Mini",12,10.00,10.00,"07/31/23"
"32001","CASE","Brioche Braided Unsliced",8,4.00,4.00,"07/31/23"
"70015","CASE","Croissant Almond Large",7,4.00,4.00,"07/31/23"
"59203","CASE","Madeleine Pure Butter",4,2.00,2.00,"07/31/23"
"30901","CASE","Chocolate Twist Large",4,8.00,8.00,"07/31/23"
"88888","CASE","Croissant P&B Large",3,10.00,10.00,"07/31/23"
"30911","CASE","Croissant Chocolate Large P&B",3,6.00,6.00,"07/31/23"
"70002","CASE","Croissant Large",2,4.00,4.00,"07/31/23"
"59226","CASE","Cake Lime Mango Raw",2,2.00,2.00,"07/31/23"
"59223","CASE","Cake Raspberry Blueberry Raw",2,1.00,1.00,"07/31/23"
"70006","CASE","Apple Turnover Large",0,15.00,15.00,"07/31/23"
"59228","CASE","Cake Raspberry Passion Fruit Raw",0,4.00,4.00,"07/31/23"
