Item Number,Level 1,Level 2,Level 3,Level 4,Level 5,Description Line 1_x,Brand Name,Pack Size,Unit of Measure_x,Priced by Weight,Description Line 2,Description Line 3,Class Name,Special Order,Item Image,On Hand Quantity_x,Item Avg. Weight,Due Date,Unit of Measure_y,Description Line 1_y,On Hand Quantity_y,Quantity Ordered,Open Balance,Expected Date
00003,22.0,0.0,0.0,0.0,0.0,Handling / Packaging Charge,,,EACH,N,,,,N,,0,0.0,/  /,EACH,Handling / Packaging Charge,0,1.0,1.0,07/31/23
00007,5.0,0.0,0.0,0.0,0.0,Freight / Fuel Charges,,,EACH,N,,,,N,,0,0.0,07/26/23,EACH,Freight / Fuel Charges,0,1.0,1.0,07/24/23
00007,5.0,0.0,0.0,0.0,0.0,Freight / Fuel Charges,,,EACH,N,,,,N,,0,0.0,07/26/23,EACH,Freight / Fuel Charges,0,1.0,1.0,07/26/23
00007,5.0,0.0,0.0,0.0,0.0,Freight / Fuel Charges,,,EACH,N,,,,N,,0,0.0,07/26/23,EACH,Freight / Fuel Charges,0,1.0,1.0,08/07/23
00007,5.0,0.0,0.0,0.0,0.0,Freight / Fuel Charges,,,EACH,N,,,,N,,0,0.0,07/26/23,EACH,Freight / Fuel Charges,0,1.0,1.0,07/31/23
00007,5.0,0.0,0.0,0.0,0.0,Freight / Fuel Charges,,,EACH,N,,,,N,,0,0.0,07/26/23,EACH,Freight / Fuel Charges,0,1.0,1.0,07/25/23
00007,5.0,0.0,0.0,0.0,0.0,Freight / Fuel Charges,,,EACH,N,,,,N,,0,0.0,07/26/23,EACH,Freight / Fuel Charges,0,1.0,1.0,07/26/23
00007,5.0,0.0,0.0,0.0,0.0,Freight / Fuel Charges,,,EACH,N,,,,N,,0,0.0,07/26/23,EACH,Freight / Fuel Charges,0,1.0,1.0,07/31/23
00007,5.0,0.0,0.0,0.0,0.0,Freight / Fuel Charges,,,EACH,N,,,,N,,0,0.0,07/26/23,EACH,Freight / Fuel Charges,0,1.0,1.0,07/31/23
00007,5.0,0.0,0.0,0.0,0.0,Freight / Fuel Charges,,,EACH,N,,,,N,,0,0.0,07/26/23,EACH,Freight / Fuel Charges,0,2.0,2.0,08/07/23
00007,5.0,0.0,0.0,0.0,0.0,Freight / Fuel Charges,,,EACH,N,,,,N,,0,0.0,07/26/23,EACH,Freight / Fuel Charges,0,1.0,1.0,07/28/23
00007,5.0,0.0,0.0,0.0,0.0,Freight / Fuel Charges,,,EACH,N,,,,N,,0,0.0,07/26/23,EACH,Freight / Fuel Charges,0,1.0,1.0,07/26/23
00007,5.0,0.0,0.0,0.0,0.0,Freight / Fuel Charges,,,EACH,N,,,,N,,0,0.0,07/26/23,EACH,Freight / Fuel Charges,0,1.0,1.0,07/31/23
00007,5.0,0.0,0.0,0.0,0.0,Freight / Fuel Charges,,,EACH,N,,,,N,,0,0.0,07/26/23,EACH,Freight / Fuel Charges,0,1.0,1.0,07/26/23
00060,5.35,0.0,0.0,5.0,4.4,Parmesan Block For Shredding,Potenza,40lb,CASE,Y,,,CHEESE ITALY,N,,0,40.0,07/24/23,CASE,Parmesan Block For Shredding,2,6.0,6.0,07/31/23
