"Item Number","Level 1","Level 2","Level 3","Level 4","Level 5","Description Line 1","Brand Name","Pack Size","Unit of Measure","Priced by Weight","Description Line 2","Description Line 3","Class Name","Special Order","Item Image","On Hand Quantity","Item Avg. Weight","Due Date"
"00003",22.00,0.00,0.00,0.00,0.00,"Handling / Packaging Charge","","","EACH","N","","","","N",,0,0.00,"/  /"
"00004",0.00,0.00,0.00,0.00,0.00,"Please send COA for above item","","","EACH","N","","","","N",,0,0.00,"/  /"
"00005",0.00,0.00,0.00,-0.05,-0.05,"Price Adjustment","","","EACH","N","","","","N",,0,0.00,"/  /"
"00006",10.00,0.00,0.00,0.00,0.00,"Insufficient Funds","","","EACH","N","","","","N",,0,0.00,"/  /"
"00007",5.00,0.00,0.00,0.00,0.00,"Freight / Fuel Charges","","","EACH","N","","","","N",,0,0.00,"07/26/23"
"00008",0.00,0.00,0.00,0.00,0.00,"Pallet Charge","","","EACH","N","","","","N",,9,0.00,"/  /"
"00010",15.30,14.20,13.80,13.25,11.70,"Basil Concentrated Flavor*","Monin","375mL","PC.","N","","","BEVERAGE SYRUP","Y",,0,0.00,"/  /"
"00012",0.00,0.00,0.00,0.00,0.00,"Altamira Chef's Supper Club 2021","","","EACH","N","","","","N",,0,0.00,"/  /"
"00016",12.70,11.80,11.50,11.00,9.75,"Vanilla Syrup","Monin","750mL","PC.","N","","","BEVERAGE SYRUP","N",,28,0.00,"/  /"
"00019",13.05,12.10,11.80,11.30,10.00,"Vanilla Syrup Sugar Free*","Monin","750mL","PC.","N","","","BEVERAGE SYRUP","Y",,0,0.00,"/  /"
"00026",14.80,15.60,15.40,14.80,13.05,"Pine Cone Syrup","Mugolio","100g","PC.","N","","","BEVERAGE SYRUP","N",,0,0.00,"/  /"
"00027",12.70,11.65,11.50,11.00,9.75,"Lavender Syrup*","Monin","750mL","PC.","N","","","BEVERAGE SYRUP","Y",,0,0.00,"/  /"
"00030",0.00,0.00,0.00,0.00,0.00,"Restocking Fee (25% of Sale Price)","","","CASE","N","","","","N",,0,0.00,"/  /"
"00032",12.70,11.80,11.50,11.00,9.75,"Pear Syrup*","Monin","750mL","PC.","N","","","BEVERAGE SYRUP","Y",,0,0.00,"/  /"
"00040",36.50,36.00,35.50,34.10,30.10,"Green Apple SnoCone Syrup","Snappy","1gal","PC.","N","","","BEVERAGE SYRUP","N",,0,0.00,"/  /"
"00041",19.00,18.75,18.50,17.75,15.65,"Blue Raspberry SnoCone Syrup","Snappy","1gal","PC.","N","","","BEVERAGE SYRUP","N",,0,0.00,"/  /"
"00042",19.55,19.30,19.00,18.25,16.10,"Strawberry SnoCone Syrup","Snappy","1gal","PC.","N","","","BEVERAGE SYRUP","N",,0,0.00,"/  /"
"00053",12.60,12.40,12.25,11.75,10.40,"Almond Syrup*","Monin","750mL","PC.","N","","","BEVERAGE SYRUP","Y",,6,0.00,"/  /"
"00060",5.35,0.00,0.00,5.00,4.40,"Parmesan Block For Shredding","Potenza","40lb","CASE","Y","","","CHEESE ITALY","N",,0,40.00,"07/24/23"
"00060G",6.00,5.60,5.50,5.20,5.45,"Parmesan Grated 5lb*","Potenza","5lb","PC.","Y","","","CHEESE ITALY","N",,14,5.00,"/  /"
"00060P",5.50,0.00,0.00,5.00,4.40,"Parmesan Shredded 5lb","Potenza","5lb","PC.","Y","","","CHEESE ITALY","N",,7,5.00,"/  /"
"01064",24.00,23.35,23.00,22.10,19.50,"Salmon Norwegian Unsliced Nova","Acme","5/6lb","CASE","Y","","","FISH SMOKED","N",,0,30.00,"/  /"
"01064P",24.00,23.35,23.00,22.10,19.50,"Salmon Norwegian Unsliced Nova 6lb","Acme","6lb","PC.","Y","","","FISH SMOKED","N",,4,6.50,"/  /"
"10000",310.50,310.50,301.85,289.80,255.70,"Atlantic Nova Salmon 12/16oz","Acme","12/16oz","CASE","N","","","FISH SMOKED","N",,3,0.00,"/  /"
"10000P",25.90,25.90,25.20,24.15,21.35,"Atlantic Nova Salmon 16oz","Acme","16oz","PC.","N","23384 10409","","FISH SMOKED","N",,11,0.00,"/  /"
"10003",6.35,6.15,6.00,5.75,5.10,"Flour Hazelnut","Potenza","25lb","CASE","Y","","","FLOUR","N",,8,25.00,"/  /"
"10003P",6.65,6.15,6.00,5.75,5.10,"Flour Hazelnut 5lb","Potenza","5lb","PC.","Y","","","FLOUR","N",,6,5.00,"/  /"
"10004",227.85,227.85,221.50,212.65,187.65,"Matjes Herring Fillets*","Blue Hill Bay","6/3lb","CASE","N","","","FISH MARINATED","Y",,0,0.00,"/  /"
"10004P",38.00,38.00,36.95,35.45,31.30,"Matjes Herring Fillets 3lb*","Blue Hill Bay","3lb","PC.","N","","","FISH MARINATED","Y",,0,0.00,"/  /"
"10010",106.25,104.75,103.30,99.15,87.50,"Salmon Smoked All Nat 12/4oz","Acme","12/4oz","CASE","N","","","FISH SMOKED","N",,1,3.50,"/  /"
"10013",46.80,46.15,45.50,43.70,65.50,"Sable Plate*","Acme","1.5lb","PC.","Y","","","FISH SMOKED","Y",,12,1.75,"/  /"
"10016",237.90,237.90,231.30,222.05,195.95,"Whitefish Salad*","Acme","4/5lb","CASE","N","Best By Date:","","FISH SMOKED","Y",,3,0.00,"/  /"
"10016P",60.35,60.35,58.70,56.35,49.70,"Whitefish Salad 5lb*","Acme","5lb","PC.","N","Best By Date:","","FISH SMOKED","Y",,-1,0.00,"/  /"
"10019",88.95,88.95,0.00,83.05,73.25,"Whitefish Salad 12/7oz","Acme","12/7oz","CASE","N","","","FISH SMOKED","Y",,1,0.00,"/  /"
"10022",76.20,64.50,58.20,55.90,49.30,"Home Style Pancit Noodle **","Golden World","4/5lb","CASE","N","","","ASIAN FOODS","N",,30,22.00,"/  /"
"10030",88.65,87.40,86.20,82.75,73.05,"Rainbow Trout Filet Smoked 12/5oz","Blue Hill Bay","12/5oz","CASE","N","","","FISH SMOKED","N",,6,0.00,"/  /"
"10033",28.60,28.20,27.80,26.70,23.55,"Peppermint Flavor","Boyajian","12.7oz","PC.","N","","","EXTRACTS","N",,11,0.00,"/  /"
"10038",39.95,39.20,38.55,37.85,37.25,"Idli Rice*","Potenza","20lb","BAG","N","","","RICE","Y",,2,0.00,"/  /"
"10039",93.80,92.50,91.20,87.55,77.25,"Smoked Salmon BBQ 12/4oz","Blue Hill Bay","12/4oz","CASE","N","12016B","","FISH SMOKED","N",,4,0.00,"/  /"
"10040",93.80,92.50,91.20,87.55,77.25,"Smoked Salmon Herb 12/4oz","Blue Hill Bay","12/4oz","CASE","N","12017B","","FISH SMOKED","N",,1,0.00,"/  /"
"10040P",8.05,7.85,7.60,7.30,6.45,"Smoked Salmon Herb 4oz","Blue Hill Bay","4oz","PC.","N","12017B","","FISH SMOKED","N",,0,0.00,"/  /"
"10041",42.10,42.10,40.95,39.30,49.10,"Sesame Oil Hot Blended","Lee Kum Kee","12/3.9oz","CASE","N","","","ASIAN FOODS","N",,2,0.00,"/  /"
"10041P",3.80,3.55,3.45,3.30,4.50,"Sesame Oil Hot Blended 3.9oz","Lee Kum Kee","3.9oz","PC.","N","","","ASIAN FOODS","N",,4,0.00,"/  /"
"10044",188.60,188.60,183.35,176.00,220.00,"Sesame Chili Oil 6/33oz","Layu","6/33oz","CASE","N","","","ASIAN FOODS","N",,2,13.00,"/  /"
"10044P",31.45,31.45,30.60,29.35,36.70,"Sesame Chili Oil 33oz","Layu","33oz","PC.","N","","","ASIAN FOODS","N",,1,0.00,"/  /"
"10045",16.25,16.00,16.25,15.15,13.40,"Whitefish Smoked 8/12oz","Acme","8/12oz","CASE","Y","","","FISH SMOKED","N",,3,6.75,"/  /"
"10045P",16.75,16.00,16.25,15.15,13.40,"Whitefish Smoked 12oz","Acme","12oz","PC.","Y","","","FISH SMOKED","N",,10,0.75,"/  /"
"10046",208.15,205.20,202.35,194.25,171.40,"Rainbow Trout Filet Smoked 10/1lb","Blue Hill Bay","10/1lb","CASE","N","","","FISH SMOKED","N",,5,0.00,"/  /"
"10047",19.40,19.10,19.40,18.10,15.95,"Whitefish Smoked Sides","Acme","20lb","CASE","Y","","","FISH SMOKED","N",,5,20.00,"/  /"
"10048",24.95,24.60,24.30,23.30,20.55,"Salmon Smoked P/S*","Blue Hill Bay","2/2.5lb","CASE","Y","","","FISH SMOKED","Y",,0,6.75,"/  /"
"10050",43.55,42.95,42.35,40.65,35.85,"Sable Pieces*","Acme","5lb","CASE","Y","","","FISH SMOKED","Y",,2,6.00,"/  /"
"10057",203.30,197.50,192.00,184.30,162.65,"Red Boat Fish Sauce 40 N","Red Boat","6/64oz","CASE","N","","","ASIAN SAUCES","N",,20,0.00,"/  /"
"10057P",35.85,34.85,33.85,32.50,28.70,"Red Boat Fish Sauce 40 N 64oz","Red Boat","64oz","PC.","N","","","ASIAN SAUCES","N",,0,0.00,"/  /"
"10059",53.75,51.50,50.75,48.75,43.00,"Red Boat Fish Sauce 40�N 8oz*","Red Boat","6/8OZ","CASE","N","","","ASIAN SAUCES","Y",,1,0.00,"/  /"
"10064",44.00,44.00,43.40,41.10,36.25,"Rice Jasmine 25lb","Ambrosia","25lb","BAG","N","","","RICE","N",,9,0.00,"/  /"
